Date,Market,Asia,Europe,Global
2017-12-29,FM,0.24203836787605132,0.5304777073518253,0.22748392477212337
2018-12-31,C1,0.4780462943744258,0.1905801438774837,0.3313735617480905
2018-12-31,DM,0.26183636621660233,0.48608684280702275,0.2520767909763749
2018-12-31,EM,0.4100304189253038,0.25624020360190064,0.3337293774727956
2018-12-31,FM,0.24274492998990238,0.5306722984667109,0.22658277154338669
2019-12-31,C1,0.48903937293984273,0.1994386327738736,0.3115219942862837
2019-12-31,DM,0.2591557403126182,0.48273093289015767,0.25811332679722415
2019-12-31,EM,0.4120004800380845,0.25900939164986964,0.3289901283120459
2019-12-31,FM,0.2476417223472749,0.520692769867366,0.23166550778535908
2020-12-31,C1,0.4755750517524366,0.2065740176694156,0.31785093057814784
2020-12-31,DM,0.27070186066633,0.4841209068488133,0.24517723248485668
